id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7996668,"Cuarto , a 10 minutos del centro de la ciudad.",33615460,Fabián,,Cuauhtémoc,19.40743,-99.14637,Private room,344,1,3,8/26/2018,0.27,1,358
8033110,Urban Oasis Private Room # 09,37183129,Urban Oasis,,Benito Juárez,19.3899,-99.16825,Private room,344,1,101,6/15/2019,2.18,20,364
8073126,Zen room in beautiful and peaceful neighborhood,42646520,Pablo,,Benito Juárez,19.38283,-99.1712,Private room,344,2,6,9/14/2018,0.18,3,364
8326895,Best Location in Mexico City!,31146848,Kevin,,Cuauhtémoc,19.42726,-99.15702,Private room,344,2,53,5/26/2019,2.1,2,161
8335657,Habitación en estudio de artista No. 2,10811347,Juanpablo,,Cuauhtémoc,19.41962,-99.15804,Private room,344,3,53,5/5/2019,1.24,3,39
8488697,"Excellent room,clean comfortable!!",44386141,Miguel,,Benito Juárez,19.38602,-99.15291,Private room,344,1,0,,,1,365
8517435,Nice Room & Best Location in the City!,44847179,Jaime,,Cuauhtémoc,19.42639,-99.17494,Private room,344,3,13,11/12/2018,0.36,1,364
8616480,"Cuarto privado, a 2 min de Santa Fe",24863858,Roco,,Cuajimalpa de Morelos,19.36649,-99.28204,Private room,344,7,3,3/8/2019,0.14,2,364
8987064,Acogedora habitación céntrica CDMX,28172354,Aldo,,Venustiano Carranza,19.42007,-99.12276,Private room,344,1,0,,,1,90
9169805,Ofrezco cuarto con baño propio,47721782,Saúl,,Cuauhtémoc,19.40943,-99.17116,Private room,344,1,0,,,1,0
9478590,Small room near Bellas Artes,25080980,Diego,,Cuauhtémoc,19.43719,-99.13999,Private room,344,3,177,6/9/2019,4.3,2,10
9644862,Habitación en el centro histórico,49869515,Marco Antonio,,Cuauhtémoc,19.43787,-99.13701,Private room,344,1,159,6/16/2019,3.71,1,365
9792141,Next to CONDESA & ROMA Private comfy room Mexico,50466607,Valentina,,Benito Juárez,19.39639,-99.15785,Private room,344,7,8,11/11/2018,0.19,5,324
9842135,Beautiful  private room,31038748,Josselin,,Benito Juárez,19.36239,-99.15931,Private room,344,1,10,11/4/2018,0.23,2,235
9942412,Cute roome near to Santa Fe,31983292,Ale,,Álvaro Obregón,19.36754,-99.21869,Private room,344,1,0,,,1,0
9944588,Habitación con excelente vista,24499401,Victoria,,Cuauhtémoc,19.41872,-99.16881,Private room,344,5,46,6/8/2019,1.12,1,319
