Date,Open,High,Low,Close,Volume
3/30/2021,60.45,61.17,58.85,59.16,414162
3/29/2021,61.96,62.27,59.94,60.55,388188
3/28/2021,60.93,61.77,59.41,61.56,449360
3/25/2021,58.48,61.36,58.32,60.97,471996
3/24/2021,60.8,60.86,57.44,58.56,580105
3/23/2021,57.4,61.34,57.29,61.18,566291
3/22/2021,61.28,61.35,57.25,57.76,712317
3/21/2021,61.55,61.9,60.39,61.55,404370
3/18/2021,59.56,61.72,58.94,61.42,84171
3/17/2021,64.42,64.82,58.2,60,143597
3/16/2021,64.75,65.34,63.6,64.6,254724
3/15/2021,65.33,65.43,63.8,64.8,317537
3/14/2021,65.56,66.4,64.13,65.39,378009
3/12/2021,65.96,66.24,65.41,65.61,321714
3/11/2021,64.7,66.21,64.54,66.02,441063
3/10/2021,63.84,64.96,63.13,64.44,498488
3/9/2021,64.73,65.98,63.63,64.01,554564
